CUUUSDUS DOLLAR                                                             2MPNORTHERN MARIANA ISLANDS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
CUUUSDUS DOLLAR                                                             2PAPANAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CUUUSDUS DOLLAR                                                             2PRPUERTO RICO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
CUUUSDUS DOLLAR                                                             2PWPALAU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CUUUSDUS DOLLAR                                                             2TCTURKS AND CAICOS ISLANDS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
CUUUSDUS DOLLAR                                                             2UMUNITED STATES MINOR OUTLAYING ISLANDS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CUUUSDUS DOLLAR                                                             2USUNITED STATES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
CUUUSDUS DOLLAR                                                             2VGVIRGIN ISLANDS, BRITISH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUUSDUS DOLLAR                                                             2VIVIRGIN ISLANDS, U.S.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
CUUUSNUS DOLLAR, NEXT DAY FUNDS                                             2USUNITED STATES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
CUUUYUPESO URUGUAYO                                                         2UYURUGUAY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUUZSUZBEKISTAN SUM                                                        2UZUZBEKISTAN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CUUVEBBOLIVAR                                                               2VEVENEZUELA   
CUUVEFBOLIVAR                                                               2VEVENEZUELA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
CUUVNDDONG                                                                  0VNVIET NAM                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
CUUVUVVATU                                                                  0VUVANUATU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUWSTTALA                                                                  2WSSAMOA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CUUXAFCFA FRANC BEAC                                                        2CFCENTRAL AFRICAN REPUBLIC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
CUUXAFCFA FRANC BEAC                                                        2CGCONGO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CUUXAFCFA FRANC BEAC                                                        2CMCAMEROON                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
CUUXAFCFA FRANC BEAC                                                        2GAGABON                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CUUXAFCFA FRANC BEAC                                                        2GQEQUATORIAL GUINEA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
CUUXAFCFA FRANC BEAC                                                        2TDCHAD                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
CUUXAGSILVER                                                                2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
CUUXAUGOLD                                                                  2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
CUUXBAEUROPEAN COMPOSITE UNIT (EURCO)                                       2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
CUUXBBEUROPEAN MONETARY UNIT (EMU-6)                                        2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
CUUXBCEUROPEAN UNIT OF ACCOUNT-9 (EUA-9)                                    2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
CUUXBDEUROPEAN UNIT OF ACCOUNT-17 (EUA-17)                                  2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
CUUXCDEAST CARIBBEAN DOLLAR                                                 2AGANTIGUA AND BARBUDA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
CUUXCDEAST CARIBBEAN DOLLAR                                                 2AIANGUILLA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
CUUXCDEAST CARIBBEAN DOLLAR                                                 2DMDOMINICA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
CUUXCDEAST CARIBBEAN DOLLAR                                                 2GDGRENADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUXCDEAST CARIBBEAN DOLLAR                                                 2KNSAINT KITTS AND NEVIS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CUUXCDEAST CARIBBEAN DOLLAR                                                 2LCSAINT LUCIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
CUUXCDEAST CARIBBEAN DOLLAR                                                 2MSMONTSERRAT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CUUXCDEAST CARIBBEAN DOLLAR                                                 2VCSAINT VINCENT AND THE GRENADINES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
CUUXDRSDR INT'L MONETARY FUND (I.M.F.)                                      2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
CUUXEUEUROPEAN CURRENCY UNIT (E.C.U.)                                       2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
CUUXFOGOLD-FRANC (SPECIAL SETTLEMENT CURRENCY)                              2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
CUUXFUUIC-FRANC (SPECIAL SETTLEMENT CURRENCY)                               2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
CUUXOFCFA FRANC BCEAO                                                       2BFBURKINA FASO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
CUUXOFCFA FRANC BCEAO                                                       2BJBENIN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CUUXOFCFA FRANC BCEAO                                                       2CICOTE D'IVOIRE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
CUUXOFCFA FRANC BCEAO                                                       2GWGUINEA-BISSAU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
CUUXOFCFA FRANC BCEAO                                                       2MLMALI                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
CUUXOFCFA FRANC BCEAO                                                       2NENIGER                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CUUXOFCFA FRANC BCEAO                                                       2SNSENEGAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUXOFCFA FRANC BCEAO                                                       2TGTOGO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
CUUXPDPALLADIUM                                                             2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
CUUXPFCFP FRANC                                                             2NCNEW CALEDONIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
CUUXPFCFP FRANC                                                             2PFFRENCH POLYNESIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
CUUXPFCFP FRANC                                                             2WFWALLIS AND FUTUNA ISLANDS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
CUUXPTPLATINUM                                                              2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
